algorithm,f0,mre_mean,rmse_mean,variance_mean,f0_hat_mean
HyperLogLog,100000,0.00283628,358.23819435999997,127585.80156,100008.844
HyperLogLog,1000000,0.0031948560000000003,3938.4231626,15118314.694,999213.8879999999
HyperLogLog,5000000,0.00279978,17416.877838,278970064.54,4994349.692
HyperLogLog,10000000,0.0021134,21134.0,0.0,9978866.0
HyperLogLog++,100000,0.0012372799999999999,153.66054284,22550.603428,99990.81599999999
HyperLogLog++,1000000,0.001628884,2026.8699007999999,3272587.0162,1000904.1
HyperLogLog++,5000000,0.00128722,8072.641720200001,62887388.036,5001168.396
HyperLogLog++,10000000,0.0013256,13256.0,0.0,10013256.0
LogLog,100000,0.00520612,649.43144652,407725.50358,100124.06
LogLog,1000000,0.005389948,6789.406659,46105629.058,999245.0279999999
LogLog,5000000,0.004712616,28669.820748,699006423.8,4988366.864
LogLog,10000000,0.007150000000000001,71500.0,0.0,9928500.0
Probabilistic Counting,100000,0.57927656,79492.779842,6139769255.6,117344.08
Probabilistic Counting,1000000,0.9119512240000001,1321697.96558,1418662093360.0,1646384.8800000001
Probabilistic Counting,5000000,0.5240893544,3231428.5102,10582138707400.0,5210955.228
Probabilistic Counting,10000000,0.084486,844860.0,0.0,10844860.0
