algorithm,params,seed,mre_mean,rmse_mean,variance_mean,bias_mean
HyperLogLog,"k=16,L=32",42,0.002763262,10373.09415905,58944964.955924995,-6937.755
HyperLogLog,"k=16,L=32",137357,0.0028876789999999998,11425.29726415,100544023.873575,-6701.135
HyperLogLog,"k=16,L=32",10032018,0.002710106,11116.679167125,80922085.271425,-7663.6900000000005
HyperLogLog,"k=16,L=32",21041998,0.0027179780000000002,10215.33290215,57096117.16225,-6723.030000000001
HyperLogLog,"k=16,L=32",29042026,0.00260137,10429.020501225,70262765.031275,-6426.36
HyperLogLog++,k=18,42,0.00130459,5743.451547875,15946516.1141375,3571.41
HyperLogLog++,k=18,137357,0.001466803,6200.44705785,21605727.73773,4177.355
HyperLogLog++,k=18,10032018,0.001406085,5956.705898800001,18137110.3281625,3091.385
HyperLogLog++,k=18,21041998,0.001291834,5557.8601105,12561610.62831,3802.75
HyperLogLog++,k=18,29042026,0.001379418,5928.000589775,14477192.261195,4506.24
LogLog,"k=15,L=32",42,0.005607389,27098.214939650003,171911435.19219998,-22090.87
LogLog,"k=15,L=32",137357,0.005624908,26798.75860185,176634488.495875,-21046.05
LogLog,"k=15,L=32",10032018,0.005703231,27608.60020005,229290699.699075,-21055.13
LogLog,"k=15,L=32",21041998,0.005635206,26995.6419454,197368338.074225,-20675.435
LogLog,"k=15,L=32",29042026,0.005502621,26009.60787995,156694761.49060002,-19837.575
Probabilistic Counting,L=23,42,0.51078776,1286941.0644450001,2571976201828.75,357530.51
Probabilistic Counting,L=23,137357,0.55323433,1437399.19765,3378166456368.0,531376.565
Probabilistic Counting,L=23,10032018,0.574477445,1501528.44272,3405683313699.25,410113.24
Probabilistic Counting,L=23,21041998,0.503167075,1319769.90748,2716523686193.0,421074.58999999997
Probabilistic Counting,L=23,29042026,0.483087313,1301210.4572325,2936326054430.5,429335.33
