algorithm,params,f0,f0_hat_final_mean,variance_final_mean,mre_final_mean,rmse_final_mean
HyperLogLog,"k=16,L=32",100000,100008.844,127585.80156,0.00283628,358.23819435999997
HyperLogLog,"k=16,L=32",1000000,999213.8879999999,15118314.694,0.0031948560000000003,3938.4231626
HyperLogLog,"k=16,L=32",5000000,4994349.692,278970064.54,0.00279978,17416.877838
HyperLogLog,"k=16,L=32",10000000,9978866.0,0.0,0.0021134,21134.0
HyperLogLog++,k=16,100000,100055.996,140057.19504,0.00351236,380.96827812000004
HyperLogLog++,k=16,1000000,999213.8960000001,15118355.084,0.0031948560000000003,3938.4260554
HyperLogLog++,k=16,5000000,4994351.388,278970064.6,0.002799668,17416.33302
HyperLogLog++,k=16,10000000,9978880.0,0.0,0.002112,21120.0
LogLog,"k=16,L=32",100000,103409.536,158581.32294,0.034095360000000005,3432.3030116
LogLog,"k=16,L=32",1000000,999638.4880000001,22938982.69,0.003877896,4784.4461347999995
LogLog,"k=16,L=32",5000000,4993668.676,338678141.68,0.0030535848,19378.726148
LogLog,"k=16,L=32",10000000,9967746.0,0.0,0.0032254,32254.0
Probabilistic Counting,L=16,100000,73964.812,394577658.2,0.26035188,32577.810690000002
Probabilistic Counting,L=16,1000000,84725.0,0.0,0.915275,915275.0
Probabilistic Counting,L=16,5000000,84725.0,0.0,0.983055,4915275.0
Probabilistic Counting,L=16,10000000,84725.0,0.0,0.9915274999999999,9915275.0
