scenario,strategy,validity,pairs,merge_rel_mean,merge_rel_median,merge_rel_max,serial_rel_mean,baseline_gap_abs_mean,baseline_gap_abs_max,degradation_ratio_mean
ctrl,direct,valid,300,0.0062329247478263,0.005637268484000001,0.02591261965,0.0062329247478263,0.0,0.0,1.0
seed_xx,reject,invalid,75,,,,0.0074362502351331995,,,
seed_xx,unsafe_naive_merge,invalid,75,0.34237446367790536,0.04988888199,0.9695475,0.0074362502351331995,3225919.36,9585276.0,49.4504142471582
seed_xx_rev,reject,invalid,75,,,,0.010075966776089334,,,
seed_xx_rev,unsafe_naive_merge,invalid,75,0.3438296901039867,0.05155529029,0.9695475,0.010075966776089334,3329397.7466666666,9882996.0,28.81702781043968
seed_murmur,reject,invalid,75,,,,0.004836454855395999,,,
seed_murmur,unsafe_naive_merge,invalid,75,0.3475221861886733,0.05373844074,0.9842226,0.004836454855395999,3321858.2266666666,9867728.0,206.46076647100705
seed_murmur_rev,reject,invalid,75,,,,0.004606090405887867,,,
seed_murmur_rev,unsafe_naive_merge,invalid,75,0.34831923476053334,0.05440764281,0.9842226,0.004606090405887867,3311315.16,9830350.0,307.17541302783417
family,reject,invalid,225,,,,0.0074362502351331995,,,
family,unsafe_naive_merge,invalid,225,0.35203742997447823,0.05143436045,1.009634,0.0074362502351331995,3320709.297777778,9986141.0,50.35998719876197
family_rev,reject,invalid,225,,,,0.005831816252057333,,,
family_rev,unsafe_naive_merge,invalid,225,0.35280223995183735,0.05365106202,1.009634,0.005831816252057333,3372292.8977777776,10122669.0,130.756221896106
