namespace,d,rho,hash,k,pairs,estimate_merge_mean,estimate_serial_mean,delta_abs_mean,delta_abs_max,delta_abs_rmse,delta_rel_mean,delta_rel_max,nonzero_pairs,nonzero_share
merge_hpp_hom_d_10000000,10000000,1,murmurhash3,10,25,9982066.0,9982066.0,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_10000000,10000000,1,murmurhash3,14,25,9974498.0,9974498.0,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_10000000,10000000,1,murmurhash3,18,25,10012525.0,10012525.0,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_10000000,10000000,1,siphash24,10,25,10461043.0,10461043.0,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_10000000,10000000,1,siphash24,14,25,9929434.0,9929434.0,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_10000000,10000000,1,siphash24,18,25,10001670.0,10001670.0,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_10000000,10000000,1,splitmix64,10,25,9980399.0,9980399.0,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_10000000,10000000,1,splitmix64,14,25,9973671.0,9973671.0,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_10000000,10000000,1,splitmix64,18,25,10013256.0,10013256.0,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_10000000,10000000,1,xxhash64,10,25,10164168.0,10164168.0,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_10000000,10000000,1,xxhash64,14,25,10110199.0,10110199.0,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_10000000,10000000,1,xxhash64,18,25,10045089.0,10045089.0,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_1000000,1000000,10,murmurhash3,10,25,1909247.84,1909247.84,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_1000000,1000000,10,murmurhash3,14,25,1904024.96,1904024.96,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_1000000,1000000,10,murmurhash3,18,25,1901562.44,1901562.44,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_1000000,1000000,10,siphash24,10,25,1907411.72,1907411.72,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_1000000,1000000,10,siphash24,14,25,1895697.88,1895697.88,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_1000000,1000000,10,siphash24,18,25,1899300.32,1899300.32,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_1000000,1000000,10,splitmix64,10,25,1904040.52,1904040.52,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_1000000,1000000,10,splitmix64,14,25,1904141.16,1904141.16,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_1000000,1000000,10,splitmix64,18,25,1899541.08,1899541.08,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_1000000,1000000,10,xxhash64,10,25,1877500.84,1877500.84,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_1000000,1000000,10,xxhash64,14,25,1903620.28,1903620.28,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_1000000,1000000,10,xxhash64,18,25,1902236.88,1902236.88,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_100000,100000,100,murmurhash3,10,25,198683.84,198683.84,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_100000,100000,100,murmurhash3,14,25,198864.92,198864.92,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_100000,100000,100,murmurhash3,18,25,199006.88,199006.88,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_100000,100000,100,siphash24,10,25,197941.56,197941.56,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_100000,100000,100,siphash24,14,25,199153.12,199153.12,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_100000,100000,100,siphash24,18,25,198988.28,198988.28,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_100000,100000,100,splitmix64,10,25,198263.68,198263.68,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_100000,100000,100,splitmix64,14,25,198441.32,198441.32,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_100000,100000,100,splitmix64,18,25,198943.64,198943.64,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_100000,100000,100,xxhash64,10,25,199197.44,199197.44,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_100000,100000,100,xxhash64,14,25,199335.72,199335.72,0.0,0,0.0,0.0,0,0,0.0
merge_hpp_hom_d_100000,100000,100,xxhash64,18,25,199093.8,199093.8,0.0,0,0.0,0.0,0,0,0.0
