pair_group,strategy,d,rho,merge_rel_mean,serial_rel_mean,baseline_gap_rel_mean,degradation_ratio_mean
10 vs 14,reject,100000,100,,0.02432809588288,,
10 vs 14,reject,1000000,10,,0.02303149488648,,
10 vs 14,reject,10000000,1,,0.0164168,,
10 vs 14,unsafe_naive_merge,100000,100,0.029034123186560002,0.02432809588288,0.025679713250572823,2.1681253291469416
10 vs 14,unsafe_naive_merge,1000000,10,0.05088254730448,0.02303149488648,0.06330138051919791,5.351834504335373
10 vs 14,unsafe_naive_merge,10000000,1,1.0613779,0.0164168,1.0449611,64.65193582184105
10 vs 14,reduce_then_merge,100000,100,0.02432809588288,0.02432809588288,0.0,1.0
10 vs 14,reduce_then_merge,1000000,10,0.02303149488648,0.02303149488648,0.0,1.0
10 vs 14,reduce_then_merge,10000000,1,0.0164168,0.0164168,0.0,1.0
10 vs 18,reject,100000,100,,0.02432809588288,,
10 vs 18,reject,1000000,10,,0.02303149488648,,
10 vs 18,reject,10000000,1,,0.0164168,,
10 vs 18,unsafe_naive_merge,100000,100,0.02330004831611,0.02432809588288,0.028288147286357236,1.9183473878203667
10 vs 18,unsafe_naive_merge,1000000,10,0.056281398664752,0.02303149488648,0.06898940938164519,5.902383324394536
10 vs 18,unsafe_naive_merge,10000000,1,1.0490454,0.0164168,1.0326286,63.90072364894499
10 vs 18,reduce_then_merge,100000,100,0.02432809588288,0.02432809588288,0.0,1.0
10 vs 18,reduce_then_merge,1000000,10,0.02303149488648,0.02303149488648,0.0,1.0
10 vs 18,reduce_then_merge,10000000,1,0.0164168,0.0164168,0.0,1.0
14 vs 18,reject,100000,100,,0.005393808225176,,
14 vs 18,reject,1000000,10,,0.0058950424802236,,
14 vs 18,reject,10000000,1,,0.011019899999999997,,
14 vs 18,unsafe_naive_merge,100000,100,0.0081232249170912,0.005393808225176,0.007644398238526989,3.795361451594815
14 vs 18,unsafe_naive_merge,1000000,10,0.0498234502812,0.0058950424802236,0.04789929172841556,57.70323251040859
14 vs 18,unsafe_naive_merge,10000000,1,0.9470671,0.011019899999999997,0.9360472,85.9415330447645
14 vs 18,reduce_then_merge,100000,100,0.005393808225176,0.005393808225176,0.0,1.0
14 vs 18,reduce_then_merge,1000000,10,0.0058950424802236,0.0058950424802236,0.0,1.0
14 vs 18,reduce_then_merge,10000000,1,0.011019899999999997,0.011019899999999997,0.0,1.0
